1;4000000;4000000;3142187;0.000000;0.154397;0.154454;3.142187;
2;4000000;2000000;1569580;0.000000;0.076605;0.076649;3.141518;
3;4000000;1333334;1047877;0.000000;0.052032;0.052081;3.142253;
4;4000000;1000000;785534;0.000000;0.038662;0.039201;3.141013;
5;4000000;800000;628983;0.000000;0.030966;0.031666;3.142309;
6;4000000;666670;523495;0.000000;0.025759;0.025937;3.141640;
7;4000000;571432;448896;0.000000;0.023639;0.026449;3.141779;
8;4000000;500000;392899;0.000000;0.019344;0.020245;3.141317;
9;4000000;444448;349358;0.000000;0.017294;0.017345;3.141616;
10;4000000;400000;313881;0.000000;0.015478;0.015535;3.140364;
11;4000000;363640;285146;0.000000;0.014068;0.015070;3.141715;
12;4000000;333337;261495;0.000000;0.012957;0.032380;3.141248;
1;200000000;200000000;157085111;0.000000;7.643690;7.643784;3.141702;
2;200000000;100000000;78549060;0.000000;3.868998;3.869208;3.141872;
3;200000000;66666668;52359974;0.000000;2.580444;2.580612;3.141457;
4;200000000;50000000;39276641;0.000000;1.936782;1.937081;3.141780;
5;200000000;40000000;31417660;0.000000;1.548564;1.548947;3.141587;
6;200000000;33333335;26176470;0.000000;1.292648;1.298527;3.141547;
7;200000000;28571432;22436676;0.000000;1.107245;1.108495;3.141659;
8;200000000;25000000;19638351;0.000000;0.968492;0.968875;3.141620;
9;200000000;22222224;17452983;0.000000;0.862210;0.869465;3.141540;
10;200000000;20000000;15709310;0.000000;0.775403;0.775587;3.141666;
11;200000000;18181820;14276772;0.000000;0.705020;0.705194;3.141461;
12;200000000;16666674;13091224;0.000000;0.645744;0.645803;3.141647;
1;2000000000;2000000000;1570778579;0.000000;76.181052;76.181165;3.141557;
2;2000000000;1000000000;785401984;0.000000;38.748174;38.748441;3.141579;
3;2000000000;666666668;523588912;0.000000;25.803680;25.803877;3.141565;
5;2000000000;400000000;314167216;0.000000;15.488576;15.576689;3.141591;
6;2000000000;333333335;261802564;0.000000;12.916864;12.917175;3.141625;
8;2000000000;250000000;196346271;0.000000;9.704390;9.704692;3.141530;
9;2000000000;222222224;174532684;0.000000;8.613831;8.614031;3.141572;
10;2000000000;200000000;157081330;0.000000;7.751494;7.751815;3.141615;
11;2000000000;181818190;142809410;0.000000;7.048116;7.049378;3.141637;
12;2000000000;166666674;130902157;0.000000;6.455457;6.455654;3.141566;
1;4000000;4000000;3140247;0.000000;0.132304;0.132341;3.140247;
2;4000000;2000000;1571888;0.000000;0.065871;0.069489;3.143196;
3;4000000;1333334;1047578;0.000000;0.047285;0.051232;3.142747;
4;4000000;1000000;784897;0.000000;0.037303;0.040936;3.140769;
5;4000000;800000;628582;0.000000;0.029885;0.035047;3.140280;
6;4000000;666670;523227;0.000000;0.024877;0.026399;3.139782;
7;4000000;571432;448544;0.000000;0.021328;0.024470;3.140327;
8;4000000;500000;392386;0.000000;0.018750;0.019768;3.141914;
9;4000000;444448;348676;0.000000;0.016670;0.016722;3.142499;
10;4000000;400000;314013;0.000000;0.014945;0.017760;3.142967;
11;4000000;363640;286022;0.000000;0.013578;0.027378;3.141786;
12;4000000;333337;261895;0.000000;0.012490;0.012539;3.141432;
1;300000000;300000000;235610658;0.000000;9.898177;9.898260;3.141475;
2;300000000;150000000;117802314;0.000000;4.935371;4.935612;3.141514;
3;300000000;100000000;78546322;0.000000;3.508246;3.510451;3.141737;
4;300000000;75000000;58907110;0.000000;2.716109;2.722057;3.141528;
5;300000000;60000000;47122931;0.000000;2.246052;2.246813;3.141592;
6;300000000;50000000;39268273;0.000000;1.871063;1.872397;3.141562;
7;300000000;42857148;33656397;0.000000;1.604445;1.805480;3.141601;
8;300000000;37500000;29452404;0.000000;1.402799;1.402973;3.141701;
9;300000000;33333336;26181693;0.000000;1.247483;1.247673;3.141800;
10;300000000;30000000;23562159;0.000000;1.124857;1.125044;3.141727;
11;300000000;27272730;21419621;0.000000;1.019899;1.020076;3.141804;
12;300000000;25000000;19635106;0.000000;0.935231;0.982216;3.141758;
1;5000000000;5000000000;3926959667;0.000000;164.711706;164.711792;3.141568;
2;5000000000;2500000000;1963495990;0.000000;82.444995;82.445138;3.141570;
3;5000000000;1666666668;1308990592;0.000000;58.461239;58.461412;3.141574;
4;5000000000;1250000000;981749579;0.000000;45.217785;45.217961;3.141629;
5;5000000000;1000000000;785392607;0.000000;37.385263;37.412217;3.141603;
6;5000000000;833333335;654532097;0.000000;31.157818;31.161562;3.141620;
7;5000000000;714285716;561000408;0.000000;26.717013;26.731227;3.141623;
8;5000000000;625000000;490871126;0.000000;23.370276;23.404567;3.141602;
9;5000000000;555555560;436324631;0.000000;20.780036;20.788063;3.141596;
10;5000000000;500000000;392700839;0.000000;18.702352;18.704047;3.141595;
11;5000000000;454545460;357000041;0.000000;16.997793;17.008269;3.141632;
12;5000000000;416666674;327245966;0.000000;15.586092;15.633126;3.141620;
