a;a;a;a;a;a;a;a;
1;4000000;4000000;3141957;0.000000;0.149345;0.149386;3.141957;
2;4000000;2000000;1571849;0.000000;0.074882;0.074938;3.143155;
3;4000000;1333334;1047563;0.000000;0.049741;0.049779;3.142855;
4;4000000;1000000;785774;0.000000;0.037313;0.037953;3.142850;
5;4000000;800000;627630;0.000000;0.030077;0.030370;3.141139;
6;4000000;666670;523286;0.000000;0.024950;0.025586;3.142508;
7;4000000;571432;449156;0.000000;0.021326;0.022836;3.143089;
8;4000000;500000;392645;0.000000;0.018677;0.018967;3.141430;
9;4000000;444448;349063;0.000000;0.018878;0.025396;3.141519;
10;4000000;400000;313865;0.000000;0.014965;0.016207;3.141896;
11;4000000;363640;285474;0.000000;0.013591;0.014507;3.140163;
12;4000000;333337;261511;0.000000;0.012444;0.012955;3.140214;
1;300000000;300000000;235626902;0.000000;11.210292;11.210386;3.141692;
2;300000000;150000000;117806816;0.000000;5.605330;5.606686;3.141577;
3;300000000;100000000;78540412;0.000000;3.737251;3.740313;3.141680;
4;300000000;75000000;58907725;0.000000;3.693870;3.694129;3.141662;
5;300000000;60000000;47118546;0.000000;2.243950;2.251189;3.141484;
6;300000000;50000000;39269532;0.000000;1.869048;1.988165;3.141724;
7;300000000;42857148;33659765;0.000000;1.603298;1.605882;3.141604;
8;300000000;37500000;29454885;0.000000;1.402065;1.405219;3.141584;
9;300000000;33333336;26180024;0.000000;1.246715;1.253846;3.141626;
10;300000000;30000000;23562960;0.000000;1.121922;1.254759;3.141543;
11;300000000;27272730;21421424;0.000000;1.019807;1.107430;3.141440;
12;300000000;25000000;19631558;0.000000;0.934821;0.936687;3.141568;
1;5000000000;5000000000;3926993628;0.000000;186.800726;186.800839;3.141595;
2;5000000000;2500000000;1963494440;0.000000;93.400012;93.432637;3.141601;
3;5000000000;1666666668;1309010329;0.000000;62.292453;62.304849;3.141613;
4;5000000000;1250000000;981752879;0.000000;46.795647;46.796002;3.141576;
5;5000000000;1000000000;785388833;0.000000;37.394891;37.395193;3.141561;
6;5000000000;833333335;654513884;0.000000;31.155845;31.157831;3.141630;
10;5000000000;500000000;392698417;0.000000;18.686732;18.698040;3.141605;
11;5000000000;454545460;356996200;0.000000;16.989984;17.011504;3.141582;
