min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;0;
0;32766;10000000;10000000;1;0.003277;11;0.000000;0.005584;0.863812;o;0.078842;0.007514;0.326266;0.176638;0.502906;0.134661;0.133998;0.858216;
0;32766;10000000;10000000;1;0.003277;12;0.000000;0.006040;0.816884;o;0.083456;0.007098;0.306584;0.167795;0.474381;0.123244;0.122348;0.810832;
0;32766;10000000;10000000;1;0.003277;1;0.000000;0.000383;3.735857;o;0.061190;0.064677;0.446797;1.023183;1.469981;1.072189;1.067398;3.735462;
0;32766;10000000;10000000;1;0.003277;2;0.000000;0.001005;2.758233;o;0.062805;0.033648;0.485016;0.690240;1.175257;0.754445;0.730981;2.757216;
0;32766;10000000;10000000;1;0.003277;3;0.000000;0.001562;2.111856;o;0.066804;0.023940;0.472923;0.506855;0.979778;0.546432;0.493131;2.110282;
0;32766;10000000;10000000;1;0.003277;4;0.000000;0.002147;1.649661;o;0.067451;0.018299;0.404697;0.369164;0.773862;0.371570;0.416171;1.647502;
0;32766;10000000;10000000;1;0.003277;5;0.000000;0.002557;1.459414;o;0.068218;0.015128;0.403234;0.308788;0.712024;0.302250;0.358976;1.456845;
0;32766;10000000;10000000;1;0.003277;6;0.000000;0.003053;1.204455;o;0.068700;0.012614;0.359934;0.266622;0.626557;0.239604;0.253720;1.201390;
0;32766;10000000;10000000;1;0.003277;7;0.000000;0.003733;1.100275;o;0.068674;0.010616;0.348894;0.240213;0.589108;0.206273;0.221582;1.096530;
0;32766;10000000;10000000;1;0.003277;8;0.000000;0.004002;0.991919;o;0.069787;0.009514;0.326713;0.218785;0.545500;0.181635;0.181191;0.987906;
0;32766;10000000;10000000;1;0.003277;9;0.000000;0.004630;0.933283;o;0.072901;0.008550;0.321719;0.201080;0.522800;0.162596;0.161505;0.928642;
0;32766;10000000;10000000;1;0.003277;10;0.000000;0.004995;0.871346;o;0.074547;0.008292;0.303665;0.187180;0.490846;0.146706;0.145686;0.866339;
0;32766;10000000;10000000;1;0.003277;11;0.000000;0.005816;0.843372;o;0.078789;0.007313;0.307155;0.175933;0.483089;0.134454;0.133561;0.837545;
0;32766;10000000;10000000;1;0.003277;12;0.000000;0.006185;0.811952;o;0.081769;0.006935;0.303381;0.167964;0.471347;0.123139;0.122215;0.805754;
0;32766;10000000;10000000;1;0.003277;1;0.000000;0.000402;3.734248;o;0.060979;0.064924;0.442315;1.022858;1.465174;1.074167;1.068562;3.733835;
0;32766;10000000;10000000;1;0.003277;2;0.000000;0.001002;2.758340;o;0.063526;0.033778;0.490207;0.687541;1.177749;0.752339;0.729854;2.757327;
0;32766;10000000;10000000;1;0.003277;3;0.000000;0.001547;2.076393;o;0.066342;0.024171;0.446239;0.467741;0.913981;0.573778;0.496365;2.074834;
0;32766;10000000;10000000;1;0.003277;4;0.000000;0.002640;1.680215;o;0.068019;0.018398;0.430558;0.369733;0.800292;0.373080;0.417624;1.677563;
0;32766;10000000;10000000;1;0.003277;5;0.000000;0.002571;1.457896;o;0.067856;0.014747;0.400941;0.308509;0.709452;0.302867;0.360138;1.455313;
0;32766;10000000;10000000;1;0.003277;6;0.000000;0.003120;1.219947;o;0.069749;0.012840;0.374741;0.266053;0.640795;0.239526;0.253746;1.216815;
0;32766;10000000;10000000;1;0.003277;7;0.000000;0.003706;1.105017;o;0.070948;0.010787;0.340475;0.240904;0.581380;0.206811;0.231110;1.101299;
0;32766;10000000;10000000;1;0.003277;8;0.000000;0.004046;0.985666;o;0.070147;0.010015;0.321495;0.217432;0.538928;0.181308;0.180976;0.981597;
0;32766;10000000;10000000;1;0.003277;9;0.000000;0.004465;0.947190;o;0.074514;0.009131;0.333305;0.201523;0.534830;0.162175;0.161789;0.942713;
0;32766;10000000;10000000;1;0.003277;10;0.000000;0.005213;0.899368;o;0.074924;0.007642;0.331768;0.186754;0.518523;0.147002;0.145813;0.894143;
0;32766;10000000;10000000;1;0.003277;11;0.000000;0.005599;0.852650;o;0.081322;0.007077;0.315188;0.176569;0.491758;0.133781;0.132760;0.847040;
0;32766;10000000;10000000;1;0.003277;12;0.000000;0.005979;0.805086;o;0.082098;0.006985;0.295596;0.168275;0.463872;0.123364;0.122448;0.799096;
