min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;100000;50000000;2500000;20;0.040000;1;0.000000;0.000257;19.370394;o;0.017796;0.332560;2.558583;5.770111;8.328694;5.427107;5.263934;
0;100000;50000000;2500000;20;0.040000;2;0.000000;0.000280;14.738389;o;0.018642;0.172554;2.636912;3.897119;6.534032;4.041938;3.970828;
0;100000;50000000;2500000;20;0.040000;3;0.000000;0.000934;10.998017;o;0.019663;0.118614;2.597556;2.860480;5.458037;2.683606;2.717037;
0;100000;50000000;2500000;20;0.040000;4;0.000000;0.000352;8.890744;o;0.020271;0.091402;2.510970;2.183888;4.694860;2.053541;2.030105;
0;100000;50000000;2500000;20;0.040000;5;0.000000;0.000366;7.712264;o;0.019777;0.075078;2.397142;1.861352;4.258495;1.661497;1.696901;
0;100000;50000000;2500000;20;0.040000;6;0.000000;0.000364;6.640044;o;0.021125;0.062706;2.204627;1.544508;3.749137;1.397728;1.408772;
0;100000;50000000;2500000;20;0.040000;7;0.000000;0.000293;5.958573;o;0.021013;0.053995;2.134606;1.394098;3.528705;1.188992;1.165333;
0;100000;50000000;2500000;20;0.040000;8;0.000000;0.000339;5.409726;o;0.022700;0.047391;2.017830;1.257310;3.275141;1.042204;1.021662;
0;100000;50000000;2500000;20;0.040000;9;0.000000;0.000415;5.100099;o;0.025108;0.042236;1.950003;1.188891;3.138895;0.965531;0.927670;
0;100000;50000000;2500000;20;0.040000;10;0.000000;0.000379;4.652000;o;0.026377;0.038183;1.863921;1.069098;2.933020;0.848108;0.805649;
0;100000;50000000;2500000;20;0.040000;11;0.000000;0.000391;4.384319;o;0.026905;0.035294;1.815603;0.993008;2.819690;0.763670;0.738017;
0;100000;50000000;2500000;20;0.040000;12;0.000000;0.000341;4.143333;o;0.028966;0.032797;1.708646;0.949927;2.660033;0.733537;0.687194;
0;100000;50000000;2500000;20;0.040000;1;0.000000;0.000277;19.352887;o;0.018372;0.331907;2.555630;5.767431;8.323063;5.424045;5.255177;
0;100000;50000000;2500000;20;0.040000;2;0.000000;0.000298;14.755968;o;0.017713;0.165786;2.588545;3.885356;6.473901;4.068106;4.030059;
