min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;41670000;41670000;1;51.535485;10;0.000000;0.019643;4.436913;o;0.473601;0.030773;1.758446;1.252670;3.011121;0.421947;0.474996;&lf;
0;2147483647;45837000;45837000;1;46.850441;11;0.000000;0.023857;4.248747;o;0.411397;0.031224;1.667206;1.306200;2.985506;0.416698;0.375169;&lf;
0;2147483647;50004000;50004000;1;42.946237;12;0.000000;0.023948;5.687240;o;0.714078;0.049653;2.644775;1.514235;4.160487;0.357355;0.372459;&lf;
0;2147483647;4167000;4167000;1;515.354847;1;0.000000;0.000292;1.152214;o;0.026231;0.026620;0.417307;0.254778;0.672086;0.228432;0.198493;&lf;
0;2147483647;8334000;8334000;1;257.677423;2;0.000000;0.000863;1.495681;o;0.050704;0.027042;0.647364;0.311348;0.958713;0.238317;0.219947;&lf;
0;2147483647;12501000;12501000;1;171.784949;3;0.000000;0.001725;1.666336;o;0.081094;0.028992;0.689470;0.393065;1.082535;0.258974;0.212910;&lf;
0;2147483647;16668000;16668000;1;128.838712;4;0.000000;0.002635;1.816699;o;0.107973;0.030945;0.720720;0.468944;1.189665;0.256389;0.228905;&lf;
0;2147483647;20835000;20835000;1;103.070969;5;0.000000;0.004335;2.012744;o;0.148004;0.030669;0.776940;0.516858;1.293798;0.271940;0.263806;&lf;
0;2147483647;25002000;25002000;1;85.892474;6;0.000000;0.006007;2.216062;o;0.193183;0.031225;0.825349;0.551334;1.376684;0.308819;0.299924;&lf;
0;2147483647;29169000;29169000;1;73.622121;7;0.000000;0.008488;3.234260;o;0.230680;0.030789;1.224712;0.926230;2.150944;0.438869;0.371363;&lf;
0;2147483647;33336000;33336000;1;64.419356;8;0.000000;0.011295;3.583036;o;0.261845;0.030785;1.374241;1.131953;2.506196;0.426955;0.342810;&lf;
0;2147483647;37503000;37503000;1;57.261650;9;0.000000;0.014819;3.870678;o;0.293424;0.031027;1.497410;1.252399;2.749810;0.345783;0.432624;&lf;
0;2147483647;41670000;41670000;1;51.535485;10;0.000000;0.019666;3.878868;o;0.337587;0.031119;1.547650;1.224905;2.772556;0.367247;0.347394;&lf;
0;2147483647;45837000;45837000;1;46.850441;11;0.000000;0.021721;4.120585;o;0.374689;0.030725;1.683239;1.346249;3.029489;0.334203;0.326550;&lf;
0;2147483647;50004000;50004000;1;42.946237;12;0.000000;0.025732;4.329767;o;0.414204;0.030737;1.765591;1.416390;3.181982;0.344581;0.329324;&lf;
0;2147483647;4167000;4167000;1;515.354847;1;0.000000;0.000267;1.146774;o;0.025792;0.028277;0.418350;0.250880;0.669231;0.226343;0.196826;&lf;
0;2147483647;8334000;8334000;1;257.677423;2;0.000000;0.000886;1.491249;o;0.050730;0.027149;0.643660;0.310226;0.953887;0.238413;0.220077;&lf;
0;2147483647;12501000;12501000;1;171.784949;3;0.000000;0.001536;1.672292;o;0.080134;0.029285;0.702313;0.389740;1.092054;0.258675;0.210430;&lf;
0;2147483647;16668000;16668000;1;128.838712;4;0.000000;0.002780;1.868424;o;0.108942;0.029766;0.748884;0.447114;1.195999;0.270298;0.260504;&lf;
0;2147483647;20835000;20835000;1;103.070969;5;0.000000;0.004311;2.003338;o;0.147806;0.031168;0.791693;0.533849;1.325543;0.258719;0.235585;&lf;
0;2147483647;25002000;25002000;1;85.892474;6;0.000000;0.006117;2.183348;o;0.195050;0.030891;0.836873;0.578131;1.415005;0.275405;0.260643;&lf;
0;2147483647;29169000;29169000;1;73.622121;7;0.000000;0.008301;3.260870;o;0.228183;0.031168;1.220125;0.940264;2.160391;0.496100;0.332109;&lf;
0;2147483647;33336000;33336000;1;64.419356;8;0.000000;0.011865;3.942897;o;0.368778;0.050276;1.662185;1.010246;2.673949;0.380631;0.449767;&lf;
0;2147483647;37503000;37503000;1;57.261650;9;0.000000;0.013531;4.224212;o;0.375505;0.030523;1.483602;1.260491;2.744094;0.518881;0.534050;&lf;
0;2147483647;41670000;41670000;1;51.535485;10;0.000000;0.016647;4.343640;o;0.441732;0.030778;1.658245;1.320042;2.978289;0.378493;0.492940;&lf;
0;2147483647;45837000;45837000;1;46.850441;11;0.000000;0.022607;4.158944;o;0.399156;0.030592;1.665970;1.318864;2.984859;0.361804;0.356622;&lf;
0;2147483647;50004000;50004000;1;42.946237;12;0.000000;0.023319;5.816882;o;0.755368;0.040286;2.655526;1.585686;4.242928;0.381931;0.352438;&lf;
