min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;0;
0;2147483647;3333333;333334;10;6442.438056;1;0.000000;0.000149;1.124806;o;0.002528;0.024983;0.176061;0.271753;0.447814;0.364136;0.285154;1.124644;
0;2147483647;6666666;666667;10;3221.223860;2;0.000000;0.000073;1.445490;o;0.004362;0.025684;0.431278;0.249714;0.680994;0.424831;0.309451;1.445405;
0;2147483647;9999999;1000000;10;2147.483647;3;0.000000;0.000373;1.572374;o;0.007627;0.025245;0.534937;0.255745;0.790683;0.421325;0.327017;1.571989;
0;2147483647;13333332;1333334;10;1610.611930;4;0.000000;0.000297;1.662476;o;0.010072;0.025321;0.587483;0.267797;0.855281;0.423528;0.347845;1.662166;
0;2147483647;16666665;1666667;10;1288.489931;5;0.000000;0.000227;1.934482;o;0.012466;0.025736;0.630206;0.333586;0.963793;0.528071;0.404001;1.934241;
0;2147483647;19999998;2000000;10;1073.741824;6;0.000000;0.000912;2.957795;o;0.020897;0.028685;1.043699;0.522950;1.566650;0.772450;0.568007;2.956869;
0;2147483647;23333331;2333334;10;920.349871;7;0.000000;0.001067;3.062464;o;0.025263;0.028371;1.111710;0.561931;1.673642;0.770736;0.560116;3.061375;
0;2147483647;26666664;2666667;10;805.306267;8;0.000000;0.001498;3.786310;o;0.033070;0.028882;1.206055;0.658667;1.864723;1.066251;0.788614;3.784798;
0;2147483647;29999997;3000000;10;715.827882;9;0.000000;0.000348;3.930687;o;0.037116;0.028474;1.414189;0.788356;2.202546;0.939336;0.713653;3.930326;
0;2147483647;33333330;3333333;10;644.245159;10;0.000000;0.000455;4.409367;o;0.042678;0.028125;1.771916;0.896755;2.668673;0.914877;0.746826;4.408898;
0;2147483647;36666663;3666667;10;585.677305;11;0.000000;0.000388;4.155898;o;0.043642;0.029159;1.584752;0.882647;2.467400;0.914104;0.680857;4.155495;
0;2147483647;39999996;4000000;10;536.870912;12;0.000000;0.000535;4.519067;o;0.050107;0.043370;1.770670;0.989954;2.760625;0.879935;0.774917;4.518518;
0;2147483647;3333333;333334;10;6442.438056;1;0.000000;0.000186;1.127187;o;0.002913;0.024836;0.178034;0.271935;0.449969;0.364233;0.285005;1.126987;
0;2147483647;6666666;666667;10;3221.223860;2;0.000000;0.000238;1.453372;o;0.004987;0.025120;0.445544;0.246444;0.691989;0.423297;0.307648;1.453121;
0;2147483647;9999999;1000000;10;2147.483647;3;0.000000;0.000178;1.575095;o;0.007287;0.025639;0.537042;0.255925;0.792968;0.421783;0.327132;1.574904;
0;2147483647;13333332;1333334;10;1610.611930;4;0.000000;0.000286;1.659358;o;0.010142;0.025418;0.593589;0.268382;0.861972;0.423207;0.338186;1.659058;
0;2147483647;16666665;1666667;10;1288.489931;5;0.000000;0.000275;1.991151;o;0.012359;0.025601;0.633638;0.344622;0.978261;0.534448;0.440018;1.990861;
0;2147483647;19999998;2000000;10;1073.741824;6;0.000000;0.000934;2.849361;o;0.022264;0.028956;1.045412;0.511908;1.557321;0.728675;0.511024;2.848414;
0;2147483647;23333331;2333334;10;920.349871;7;0.000000;0.000901;3.101046;o;0.025263;0.028423;1.113540;0.580709;1.694250;0.808438;0.540547;3.100131;
0;2147483647;26666664;2666667;10;805.306267;8;0.000000;0.000797;3.700856;o;0.032586;0.030868;1.237609;0.808125;2.045735;0.896532;0.688012;3.700045;
0;2147483647;29999997;3000000;10;715.827882;9;0.000000;0.000366;3.836177;o;0.046558;0.028536;1.387303;0.699993;2.087298;0.892497;0.771639;3.835799;
0;2147483647;33333330;3333333;10;644.245159;10;0.000000;0.000506;4.103350;o;0.042057;0.029008;1.490526;0.844389;2.334917;1.022345;0.666749;4.102830;
0;2147483647;36666663;3666667;10;585.677305;11;0.000000;0.000512;4.293450;o;0.043820;0.028585;1.626338;0.931941;2.558281;0.946159;0.706700;4.292924;
0;2147483647;39999996;4000000;10;536.870912;12;0.000000;0.005894;4.829919;o;0.049559;0.036792;2.061312;0.926985;2.989804;0.919023;0.819406;4.824012;
0;2147483647;3333333;333334;10;6442.438056;1;0.000000;0.000143;1.122927;o;0.002454;0.025177;0.175427;0.270921;0.446348;0.363853;0.284906;1.122770;
0;2147483647;6666666;666667;10;3221.223860;2;0.000000;0.000248;1.451994;o;0.004907;0.025262;0.444811;0.245620;0.690432;0.423754;0.307297;1.451733;
0;2147483647;9999999;1000000;10;2147.483647;3;0.000000;0.000192;1.573390;o;0.007367;0.025393;0.534882;0.255795;0.790677;0.421974;0.327681;1.573186;
0;2147483647;13333332;1333334;10;1610.611930;4;0.000000;0.000290;1.651065;o;0.010117;0.025512;0.582565;0.270162;0.852728;0.423697;0.338592;1.650760;
0;2147483647;16666665;1666667;10;1288.489931;5;0.000000;0.000433;1.931673;o;0.013172;0.025236;0.628396;0.312519;0.940916;0.535633;0.416113;1.931227;
0;2147483647;19999998;2000000;10;1073.741824;6;0.000000;0.001035;2.863714;o;0.020701;0.028963;1.066909;0.474485;1.541396;0.719753;0.551675;2.862665;
0;2147483647;23333331;2333334;10;920.349871;7;0.000000;0.001095;3.140117;o;0.025398;0.027512;1.115534;0.562293;1.677828;0.813623;0.592194;3.139008;
0;2147483647;26666664;2666667;10;805.306267;8;0.000000;0.000244;3.673591;o;0.031452;0.029490;1.382297;0.722361;2.106198;0.823417;0.667286;3.673334;
0;2147483647;29999997;3000000;10;715.827882;9;0.000000;0.000312;3.961649;o;0.032533;0.028839;1.357617;0.796711;2.154330;0.929605;0.796805;3.961323;
0;2147483647;33333330;3333333;10;644.245159;10;0.000000;0.000453;4.249730;o;0.039276;0.027907;1.549759;0.925778;2.477033;0.960703;0.736473;4.249262;
0;2147483647;36666663;3666667;10;585.677305;11;0.000000;0.000373;4.203172;o;0.047421;0.028194;1.731762;0.883574;2.615336;0.851049;0.651345;4.202785;
0;2147483647;39999996;4000000;10;536.870912;12;0.000000;0.000407;4.814483;o;0.050157;0.036351;1.875029;0.957302;2.833891;0.955098;0.930752;4.814063;
0;2147483647;3333333;333334;10;6442.438056;1;0.000000;0.000295;1.126747;o;0.002750;0.024708;0.179670;0.272002;0.451672;0.362861;0.284418;1.126439;
0;2147483647;6666666;666667;10;3221.223860;2;0.000000;0.000246;1.448576;o;0.004986;0.025427;0.436639;0.246570;0.683210;0.425249;0.309360;1.448317;
0;2147483647;9999999;1000000;10;2147.483647;3;0.000000;0.000350;1.569148;o;0.007646;0.025330;0.527661;0.259174;0.786837;0.421707;0.327163;1.568785;
