min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;2147483647;500000;12821;39;167497.359566;1;0.000000;0.000084;0.217230;o;0.000153;0.004407;0.027013;0.054334;0.081348;0.079332;0.051854;0.217134;
0;2147483647;500000;12500;40;171798.691760;1;0.000000;0.000057;0.221087;o;0.000165;0.004817;0.025372;0.062990;0.088363;0.072622;0.055016;0.221014;
0;2147483647;500000;12196;41;176080.981223;1;0.000000;0.000057;0.222036;o;0.000149;0.004699;0.025242;0.062945;0.088189;0.074500;0.054383;0.221964;
0;2147483647;500000;11905;42;180385.018648;1;0.000000;0.000051;0.208141;o;0.000143;0.004593;0.025852;0.048698;0.074552;0.073532;0.055225;0.208077;
0;2147483647;500000;11628;43;184682.116185;1;0.000000;0.000053;0.223536;o;0.000151;0.004592;0.025282;0.061986;0.087270;0.075931;0.055492;0.223468;
0;2147483647;500000;11364;44;188972.513816;1;0.000000;0.000048;0.220802;o;0.000139;0.004568;0.028890;0.052672;0.081563;0.078566;0.055862;0.220730;
0;2147483647;500000;11112;45;193258.067585;1;0.000000;0.000047;0.231312;o;0.000137;0.005425;0.030226;0.051095;0.081322;0.081426;0.062911;0.231251;
0;2147483647;500000;10870;46;197560.593100;1;0.000000;0.000048;0.225645;o;0.000138;0.004597;0.025335;0.052184;0.077520;0.081059;0.062234;0.225580;
0;2147483647;500000;10639;47;201850.140709;1;0.000000;0.000046;0.226362;o;0.000128;0.004719;0.025330;0.051613;0.076943;0.086492;0.057983;0.226298;
0;2147483647;500000;10417;48;206151.833253;1;0.000000;0.000049;0.219921;o;0.000127;0.004772;0.026107;0.055840;0.081949;0.089521;0.043460;0.219858;
0;2147483647;500000;10205;49;210434.458305;1;0.000000;0.000047;0.228813;o;0.000096;0.004670;0.025915;0.055487;0.081404;0.090205;0.052353;0.228755;
0;2147483647;500000;10000;50;214748.364700;1;0.000000;0.000045;0.231418;o;0.000100;0.004704;0.026096;0.056629;0.082726;0.089236;0.054568;0.231361;
