min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;100000;70000000;70000000;1;0.001429;1;0.000000;0.002755;40.157956;o;0.451873;0.520994;5.988872;11.624666;17.613539;11.050012;10.518734;
0;100000;70000000;17500000;4;0.005714;1;0.000000;0.000733;38.641636;o;0.113475;0.521164;5.994480;11.085436;17.079917;10.776212;10.150089;
0;100000;70000000;10000000;7;0.010000;1;0.000000;0.000449;38.618500;o;0.065100;0.520808;5.966807;11.079883;17.046691;10.825210;10.160194;
0;100000;70000000;7000000;10;0.014286;1;0.000000;0.000496;38.419876;o;0.046328;0.521169;5.941801;11.008449;16.950251;10.777140;10.124445;
0;100000;70000000;5384616;13;0.018571;1;0.000000;0.000394;38.383706;o;0.035312;0.520768;5.896054;11.011592;16.907648;10.787785;10.131752;
0;100000;70000000;4375000;16;0.022857;1;0.000000;0.000385;40.725346;o;0.028745;0.521011;5.871255;12.494584;18.365840;11.657948;10.151371;
0;100000;70000000;3684211;19;0.027143;1;0.000000;0.000208;38.141147;o;0.024397;0.520567;5.867367;10.813810;16.681178;10.716253;10.198500;
0;100000;70000000;3181819;22;0.031429;1;0.000000;0.000348;38.650673;o;0.021742;0.521004;5.829831;10.745839;16.575671;11.244034;10.287826;
0;100000;70000000;2800000;25;0.035714;1;0.000000;0.000332;38.372069;o;0.018560;0.521261;6.092796;10.732266;16.825064;10.749382;10.257428;
0;100000;70000000;2500000;28;0.040000;1;0.000000;0.000304;38.172090;o;0.017316;0.520925;5.856277;10.824217;16.680495;10.727963;10.225042;
0;100000;70000000;2258065;31;0.044286;1;0.000000;0.000300;38.246365;o;0.015158;0.520674;5.872574;10.857954;16.730529;10.779306;10.200348;
0;100000;70000000;2058824;34;0.048571;1;0.000000;0.000350;38.310462;o;0.014020;0.520919;5.860833;10.904941;16.765775;10.836544;10.172808;
0;100000;70000000;1891892;37;0.052857;1;0.000000;0.000324;38.179312;o;0.012943;0.520597;5.871372;10.820439;16.691812;10.739278;10.214313;
0;100000;70000000;1750000;40;0.057143;1;0.000000;0.000184;38.145808;o;0.012034;0.520835;5.856475;10.800807;16.657283;10.742330;10.213096;
0;100000;70000000;1627907;43;0.061429;1;0.000000;0.000191;38.326630;o;0.011317;0.520706;5.816846;10.837244;16.654092;10.778783;10.361496;
0;100000;70000000;1521740;46;0.065714;1;0.000000;0.000323;38.388624;o;0.010486;0.522912;5.926781;10.896895;16.823676;10.822184;10.208997;
