min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;0;
0;2147483647;33333330;33333330;1;64.424516;10;0.000000;0.013660;2.933110;o;0.246492;0.024874;1.242717;0.917846;2.160590;0.248628;0.238567;2.919438;
0;2147483647;36666663;36666664;1;58.567740;11;0.000000;0.016617;3.086793;o;0.294434;0.025472;1.313299;0.949114;2.263915;0.246273;0.239731;3.070164;
0;2147483647;39999996;39999996;1;53.687097;12;0.000000;0.019815;3.283355;o;0.319881;0.024838;1.400473;1.024390;2.424887;0.250366;0.243181;3.263529;
0;2147483647;3333333;3333333;1;644.245159;1;0.000000;0.000211;0.911339;o;0.021588;0.021714;0.329995;0.201631;0.531627;0.180233;0.155925;0.911116;
0;2147483647;6666666;6666666;1;322.122579;2;0.000000;0.001313;1.606160;o;0.041186;0.022616;0.734300;0.339806;1.074108;0.228823;0.238025;1.604835;
0;2147483647;9999999;9999999;1;214.748386;3;0.000000;0.001506;1.851192;o;0.067255;0.023496;0.825944;0.458158;1.284114;0.248222;0.226364;1.849675;
0;2147483647;13333332;13333332;1;161.061290;4;0.000000;0.002407;2.066039;o;0.088861;0.023798;0.957382;0.492449;1.449832;0.240210;0.260709;2.063618;
0;2147483647;16666665;16666665;1;128.849032;5;0.000000;0.004187;2.209905;o;0.113815;0.024903;0.975073;0.567209;1.542283;0.279799;0.244661;2.205706;
0;2147483647;19999998;19999998;1;107.374193;6;0.000000;0.005192;2.473184;o;0.135881;0.024954;1.091459;0.628792;1.720253;0.320191;0.266426;2.467979;
0;2147483647;23333331;23333332;1;92.035019;7;0.000000;0.006786;2.605732;o;0.158795;0.024991;1.158746;0.705019;1.863767;0.314068;0.236988;2.598933;
0;2147483647;26666664;26666664;1;80.530645;8;0.000000;0.008821;2.694195;o;0.183825;0.024641;1.175206;0.761862;1.937069;0.250543;0.288965;2.685363;
0;2147483647;29999997;29999996;1;71.582798;9;0.000000;0.011275;2.856661;o;0.218523;0.025019;1.265147;0.864373;2.129521;0.246172;0.225864;2.845374;
0;2147483647;33333330;33333330;1;64.424516;10;0.000000;0.014095;2.946824;o;0.246086;0.024800;1.268576;0.889197;2.157774;0.257780;0.245973;2.932717;
0;2147483647;36666663;36666664;1;58.567740;11;0.000000;0.016366;3.117411;o;0.290657;0.025145;1.325825;0.961417;2.287275;0.256455;0.241238;3.101033;
0;2147483647;39999996;39999996;1;53.687097;12;0.000000;0.019495;3.556329;o;0.320088;0.024905;1.682994;1.001179;2.685695;0.267347;0.238449;3.536822;
0;2147483647;3333333;3333333;1;644.245159;1;0.000000;0.000224;0.908597;o;0.021093;0.021759;0.331961;0.198374;0.530336;0.179850;0.155299;0.908362;
0;2147483647;6666666;6666666;1;322.122579;2;0.000000;0.001314;1.608874;o;0.042049;0.022302;0.720270;0.356646;1.076917;0.228263;0.237938;1.607548;
0;2147483647;9999999;9999999;1;214.748386;3;0.000000;0.001849;1.859797;o;0.065218;0.023740;0.827801;0.428945;1.256746;0.266863;0.245150;1.857936;
0;2147483647;13333332;13333332;1;161.061290;4;0.000000;0.002888;2.067665;o;0.089655;0.024273;0.960280;0.489736;1.450017;0.240499;0.260033;2.064766;
0;2147483647;16666665;16666665;1;128.849032;5;0.000000;0.004153;2.233062;o;0.114006;0.024735;0.975054;0.590954;1.566009;0.282822;0.241067;2.228897;
0;2147483647;19999998;19999998;1;107.374193;6;0.000000;0.005657;2.455798;o;0.135590;0.024738;1.079461;0.624062;1.703524;0.332105;0.253872;2.450130;
0;2147483647;23333331;23333332;1;92.035019;7;0.000000;0.006682;2.622923;o;0.158697;0.024894;1.139382;0.711811;1.851194;0.321137;0.260055;2.616230;
0;2147483647;26666664;26666664;1;80.530645;8;0.000000;0.009145;2.692362;o;0.183909;0.024660;1.173296;0.766672;1.939970;0.247334;0.287024;2.683205;
0;2147483647;29999997;29999996;1;71.582798;9;0.000000;0.011033;2.820861;o;0.220108;0.024894;1.232920;0.852414;2.085335;0.243506;0.235650;2.809814;
0;2147483647;33333330;33333330;1;64.424516;10;0.000000;0.014330;2.941671;o;0.243976;0.024644;1.258074;0.878622;2.136697;0.265090;0.256655;2.927328;
0;2147483647;36666663;36666664;1;58.567740;11;0.000000;0.016351;3.132224;o;0.291691;0.025148;1.331827;0.948125;2.279953;0.263846;0.254903;3.115861;
0;2147483647;39999996;39999996;1;53.687097;12;0.000000;0.019448;3.247320;o;0.322011;0.025240;1.333825;1.008986;2.342812;0.281048;0.256410;3.227861;
