min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;
0;2147483647;10000000;243903;41;8804.662702;1;0.000000;0.000078;4.894901;o;0.001340;0.058880;0.625197;1.271847;1.897045;1.649729;1.287810;
0;2147483647;10000000;238096;42;9019.402455;1;0.000000;0.000093;5.423378;o;0.001308;0.058818;0.724129;1.323512;2.047642;1.894596;1.420902;
0;2147483647;10000000;232559;43;9234.145516;1;0.000037;0.000080;5.102008;o;0.001424;0.058518;0.738845;1.311051;2.049897;1.691763;1.300229;
0;2147483647;10000000;227273;44;9448.916708;1;0.000000;0.000084;5.409434;o;0.001515;0.059941;0.583474;1.257472;1.840947;1.754903;1.752025;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000336;3.501179;o;0.061825;0.076842;1.298781;0.752354;2.051136;0.698944;0.612078;
0;2147483647;10000000;5000000;2;429.496729;1;0.000000;0.000284;3.599534;o;0.020419;0.082174;1.186427;0.687492;1.873919;0.960531;0.662185;
0;2147483647;10000000;3333334;3;644.244965;1;0.000000;0.000207;4.457683;o;0.014216;0.063746;1.268587;0.800558;2.069146;1.570230;0.740118;
0;2147483647;10000000;2500000;4;858.993459;1;0.000000;0.000188;4.620541;o;0.010434;0.058939;1.309010;0.876531;2.185542;1.505636;0.859783;
0;2147483647;10000000;2000000;5;1073.741824;1;0.000000;0.000270;5.095410;o;0.008658;0.061949;1.282497;0.905959;2.188457;1.620369;1.215687;
0;2147483647;10000000;1666667;6;1288.489931;1;0.000000;0.000126;4.873190;o;0.006677;0.060236;1.342366;0.972280;2.314647;1.638499;0.852984;
0;2147483647;10000000;1428572;7;1503.237952;1;0.000000;0.000159;4.703298;o;0.005815;0.058806;1.107494;1.063163;2.170658;1.453333;1.014508;
0;2147483647;10000000;1250000;8;1717.986918;1;0.000000;0.000108;4.759277;o;0.004868;0.056502;1.065796;1.129490;2.195287;1.439274;1.063220;
0;2147483647;10000000;1111112;9;1932.733736;1;0.000001;0.000182;4.958736;o;0.006469;0.058427;1.098052;1.184370;2.282423;1.464528;1.146662;
0;2147483647;10000000;1000000;10;2147.483647;1;0.000000;0.000183;5.311832;o;0.005575;0.057515;1.051096;1.268407;2.319505;1.669552;1.259483;
0;2147483647;10000000;909091;11;2362.231775;1;0.000000;0.000141;5.745348;o;0.007292;0.068245;1.089225;1.246447;2.335672;1.665112;1.668864;
0;2147483647;10000000;833334;12;2576.978315;1;0.000000;0.000159;5.635781;o;0.003731;0.059210;1.141423;1.308943;2.450368;1.690085;1.432206;
0;2147483647;10000000;769231;13;2791.727904;1;0.000000;0.000098;5.138992;o;0.003348;0.062769;1.086635;1.238871;2.325507;1.508301;1.238946;
0;2147483647;10000000;714286;14;3006.475903;1;0.000000;0.000060;5.092233;o;0.002825;0.058639;0.984021;1.253334;2.237356;1.519088;1.274246;
0;2147483647;10000000;666667;15;3221.223860;1;0.000000;0.000125;5.372262;o;0.003680;0.058443;0.986598;1.254950;2.241549;1.606833;1.461613;
0;2147483647;10000000;625000;16;3435.973835;1;0.000000;0.000117;5.245835;o;0.002622;0.058909;1.050927;1.317767;2.368695;1.522999;1.292460;
0;2147483647;10000000;588236;17;3650.717819;1;0.000000;0.000149;4.997464;o;0.003150;0.056634;0.946637;1.239631;2.186268;1.488939;1.262269;
0;2147483647;10000000;555556;18;3865.467472;1;0.000000;0.000053;5.220719;o;0.002217;0.067684;0.902518;1.246990;2.149509;1.486714;1.514523;
0;2147483647;10000000;526316;19;4080.217297;1;0.000000;0.000130;5.199463;o;0.002408;0.061312;0.988354;1.288222;2.276577;1.502403;1.356615;
0;2147483647;10000000;500000;20;4294.967294;1;0.000000;0.000081;6.102871;o;0.002142;0.057811;1.213989;1.474645;2.688635;1.748568;1.605613;
0;2147483647;10000000;476191;21;4509.710698;1;0.000000;0.000073;5.806740;o;0.002167;0.057091;0.905133;1.478452;2.383586;1.769558;1.594246;
0;2147483647;10000000;454546;22;4724.458354;1;0.000000;0.000149;5.200707;o;0.003236;0.058518;0.914343;1.264333;2.178678;1.579155;1.380945;
0;2147483647;10000000;434783;23;4939.207943;1;0.000000;0.000260;5.526297;o;0.002220;0.059321;0.837360;1.273202;2.110563;1.684517;1.669397;
0;2147483647;10000000;416667;24;5153.956630;1;0.000000;0.000132;5.170741;o;0.003587;0.058957;0.833230;1.433248;2.266480;1.529318;1.312241;
0;2147483647;10000000;400000;25;5368.709117;1;0.000000;0.000122;5.122701;o;0.003671;0.058269;0.921181;1.315416;2.236598;1.538415;1.285608;
0;2147483647;10000000;384616;26;5583.448549;1;0.000000;0.000094;4.987572;o;0.001860;0.059204;0.786460;1.294665;2.081127;1.576740;1.268529;
0;2147483647;10000000;370371;27;5798.195990;1;0.000000;0.000094;5.242183;o;0.001790;0.060252;0.799366;1.418459;2.217827;1.648773;1.313424;
0;2147483647;10000000;357143;28;6012.951806;1;0.000000;0.000088;5.160336;o;0.002101;0.057694;0.772209;1.271110;2.043320;1.773969;1.283143;
0;2147483647;10000000;344828;29;6227.695103;1;0.000000;0.000166;5.005076;o;0.002479;0.060159;0.739337;1.262392;2.001730;1.652735;1.287786;
0;2147483647;10000000;333334;30;6442.438056;1;0.000000;0.000151;4.934943;o;0.002902;0.057194;0.753729;1.241177;1.994907;1.606492;1.273272;
0;2147483647;10000000;322581;31;6657.191983;1;0.000000;0.000047;4.860496;o;0.001339;0.061336;0.712517;1.254265;1.966782;1.566560;1.264413;
0;2147483647;10000000;312500;32;6871.947670;1;0.000000;0.000140;4.826791;o;0.002280;0.055444;0.705137;1.256134;1.961273;1.574087;1.233549;
0;2147483647;10000000;303031;33;7086.679736;1;0.000000;0.000132;4.925237;o;0.001779;0.056522;0.733851;1.256472;1.990325;1.627686;1.248775;
0;2147483647;10000000;294118;34;7301.435638;1;0.000000;0.000117;4.876919;o;0.001752;0.057629;0.690192;1.268097;1.958290;1.600039;1.259073;
0;2147483647;10000000;285715;35;7516.173974;1;0.000000;0.000143;4.934285;o;0.001730;0.057710;0.705989;1.263531;1.969521;1.618557;1.286604;
0;2147483647;10000000;277778;36;7730.934944;1;0.000000;0.000035;5.036640;o;0.000996;0.058598;0.684726;1.298720;1.983447;1.687952;1.305593;
0;2147483647;10000000;270271;37;7945.668041;1;0.000000;0.000136;4.892685;o;0.001590;0.059101;0.697015;1.251863;1.948879;1.609598;1.273316;
0;2147483647;10000000;263158;38;8160.434594;1;0.000000;0.000122;5.251015;o;0.001612;0.058973;0.658662;1.471895;2.130557;1.759552;1.300170;
