1000; 1; 0.072529;
2000; 1; 0.143822;
3000; 1; 0.235209;
4000; 1; 1.054962;
5000; 1; 1.524676;
6000; 1; 1.494163;
7000; 1; 3.023436;
8000; 1; 2.022793;
9000; 1; 2.960107;
1000; 101; 0.117546;
2000; 101; 0.755073;
3000; 101; 1.373968;
4000; 101; 0.292134;
5000; 101; 1.517814;
6000; 101; 1.568604;
7000; 101; 1.458660;
8000; 101; 2.945109;
9000; 101; 2.331285;
1000; 201; 0.071852;
2000; 201; 0.143205;
3000; 201; 1.288791;
4000; 201; 0.294004;
5000; 201; 1.584996;
6000; 201; 1.446219;
7000; 201; 3.067654;
8000; 201; 1.975011;
9000; 201; 3.369149;
1000; 301; 0.071982;
2000; 301; 0.144854;
3000; 301; 0.828737;
4000; 301; 0.289457;
5000; 301; 1.418515;
6000; 301; 1.351552;
7000; 301; 1.480486;
8000; 301; 3.014956;
9000; 301; 2.176546;
1000; 401; 0.115418;
2000; 401; 0.725909;
3000; 401; 0.300924;
4000; 401; 0.970632;
5000; 401; 1.373277;
6000; 401; 1.489033;
7000; 401; 3.008189;
8000; 401; 2.041931;
9000; 401; 2.176338;
1000; 501; 1.238019;
2000; 501; 0.144095;
3000; 501; 0.859535;
4000; 501; 0.288277;
5000; 501; 1.331527;
6000; 501; 1.310473;
7000; 501; 1.422633;
8000; 501; 2.998985;
9000; 501; 2.198008;
1000; 601; 0.118530;
2000; 601; 0.803557;
3000; 601; 0.311185;
4000; 601; 1.015635;
5000; 601; 1.210274;
6000; 601; 1.460919;
7000; 601; 2.901649;
8000; 601; 2.021211;
9000; 601; 2.188329;
1000; 701; 1.210340;
2000; 701; 0.145276;
3000; 701; 0.860663;
4000; 701; 1.423005;
5000; 701; 0.361516;
6000; 701; 1.281987;
7000; 701; 1.391206;
8000; 701; 2.917600;
9000; 701; 2.285484;
1000; 801; 0.073259;
2000; 801; 0.144181;
3000; 801; 1.297566;
4000; 801; 0.294068;
5000; 801; 1.521441;
6000; 801; 1.550285;
7000; 801; 2.961733;
8000; 801; 2.131939;
9000; 801; 2.107570;
1000; 901; 1.189881;
2000; 901; 0.146973;
3000; 901; 0.760089;
4000; 901; 0.299939;
5000; 901; 1.517801;
6000; 901; 1.405007;
7000; 901; 3.066189;
8000; 901; 3.267651;
9000; 901; 2.086731;
1000; 1001; 0.124818;
2000; 1001; 0.440692;
3000; 1001; 1.391346;
4000; 1001; 0.336192;
5000; 1001; 1.464471;
6000; 1001; 1.423271;
7000; 1001; 2.929524;
8000; 1001; 2.228198;
9000; 1001; 3.468075;
1000; 1101; 0.138567;
2000; 1101; 0.306810;
3000; 1101; 1.354303;
4000; 1101; 0.337242;
5000; 1101; 1.572896;
6000; 1101; 2.983558;
7000; 1101; 2.021830;
8000; 1101; 1.817841;
9000; 1101; 3.083437;
1000; 1201; 0.726416;
2000; 1201; 0.168377;
3000; 1201; 0.912853;
4000; 1201; 1.362800;
5000; 1201; 1.009379;
6000; 1201; 1.308119;
7000; 1201; 2.998225;
8000; 1201; 2.368775;
9000; 1201; 2.771659;
1000; 1301; 1.124083;
2000; 1301; 0.169948;
3000; 1301; 0.844025;
4000; 1301; 1.880923;
5000; 1301; 1.864120;
6000; 1301; 2.050797;
7000; 1301; 2.128652;
8000; 1301; 2.123849;
9000; 1301; 2.949570;
1000; 1401; 0.115668;
2000; 1401; 0.383487;
3000; 1401; 1.372069;
4000; 1401; 1.396162;
5000; 1401; 3.001036;
6000; 1401; 0.891779;
7000; 1401; 3.089011;
8000; 1401; 4.837098;
9000; 1401; 5.471376;
1000; 1501; 0.207186;
2000; 1501; 0.842047;
3000; 1501; 1.438956;
4000; 1501; 1.715127;
5000; 1501; 1.680500;
6000; 1501; 3.361331;
7000; 1501; 3.428180;
8000; 1501; 3.587486;
9000; 1501; 5.070350;
1000; 1601; 0.124757;
2000; 1601; 0.363988;
3000; 1601; 1.335984;
4000; 1601; 1.677031;
5000; 1601; 2.569732;
6000; 1601; 2.427196;
7000; 1601; 3.547388;
8000; 1601; 3.792391;
9000; 1601; 3.824092;
1000; 1701; 1.033020;
2000; 1701; 0.250698;
3000; 1701; 2.883287;
4000; 1701; 0.607059;
5000; 1701; 2.715661;
6000; 1701; 2.219603;
7000; 1701; 3.348485;
8000; 1701; 4.253967;
9000; 1701; 3.633278;
1000; 1801; 1.177569;
2000; 1801; 0.389781;
3000; 1801; 1.457187;
4000; 1801; 1.659650;
5000; 1801; 1.607703;
