1000; 1; 0.000592;
2000; 1; 0.001156;
3000; 1; 0.001736;
4000; 1; 0.002369;
5000; 1; 0.002985;
6000; 1; 0.003222;
7000; 1; 0.003859;
8000; 1; 0.004613;
9000; 1; 0.005327;
1000; 101; 0.000759;
2000; 101; 0.001566;
3000; 101; 0.002268;
4000; 101; 0.003133;
5000; 101; 0.003991;
6000; 101; 0.004748;
7000; 101; 0.005639;
8000; 101; 0.006118;
9000; 101; 0.006861;
1000; 201; 0.000919;
2000; 201; 0.001798;
3000; 201; 0.002696;
4000; 201; 0.003535;
5000; 201; 0.004374;
6000; 201; 0.005340;
7000; 201; 0.006048;
8000; 201; 0.007011;
9000; 201; 0.008024;
1000; 301; 0.000901;
2000; 301; 0.001878;
3000; 301; 0.002626;
4000; 301; 0.003656;
5000; 301; 0.004372;
6000; 301; 0.005666;
7000; 301; 0.006603;
8000; 301; 0.007110;
9000; 301; 0.008311;
1000; 401; 0.001002;
2000; 401; 0.001882;
3000; 401; 0.002844;
4000; 401; 0.003979;
5000; 401; 0.004874;
6000; 401; 0.005785;
7000; 401; 0.006565;
8000; 401; 0.007505;
9000; 401; 0.008078;
1000; 501; 0.001024;
2000; 501; 0.001909;
3000; 501; 0.002851;
4000; 501; 0.004052;
5000; 501; 0.005043;
6000; 501; 0.005847;
7000; 501; 0.006629;
8000; 501; 0.008253;
9000; 501; 0.008954;
1000; 601; 0.001044;
2000; 601; 0.001880;
3000; 601; 0.003145;
4000; 601; 0.003972;
5000; 601; 0.005227;
6000; 601; 0.006245;
7000; 601; 0.007064;
8000; 601; 0.007809;
9000; 601; 0.009269;
1000; 701; 0.001158;
2000; 701; 0.002160;
3000; 701; 0.003024;
4000; 701; 0.004324;
5000; 701; 0.005025;
6000; 701; 0.006482;
7000; 701; 0.007064;
8000; 701; 0.008642;
9000; 701; 0.009158;
1000; 801; 0.001117;
2000; 801; 0.002190;
3000; 801; 0.003225;
4000; 801; 0.004357;
5000; 801; 0.005286;
6000; 801; 0.006499;
7000; 801; 0.007450;
8000; 801; 0.008813;
9000; 801; 0.009868;
1000; 901; 0.001121;
2000; 901; 0.002343;
3000; 901; 0.003515;
4000; 901; 0.004403;
5000; 901; 0.005708;
6000; 901; 0.006403;
7000; 901; 0.007779;
8000; 901; 0.009149;
9000; 901; 0.009485;
1000; 1001; 0.001218;
2000; 1001; 0.002378;
3000; 1001; 0.003238;
4000; 1001; 0.004678;
5000; 1001; 0.005552;
6000; 1001; 0.006600;
7000; 1001; 0.007845;
8000; 1001; 0.009409;
9000; 1001; 0.010362;
1000; 1101; 0.001223;
2000; 1101; 0.002377;
3000; 1101; 0.003685;
4000; 1101; 0.004842;
5000; 1101; 0.005953;
6000; 1101; 0.006883;
7000; 1101; 0.008115;
8000; 1101; 0.009264;
9000; 1101; 0.010668;
1000; 1201; 0.001230;
2000; 1201; 0.002434;
3000; 1201; 0.003659;
4000; 1201; 0.004883;
5000; 1201; 0.006119;
6000; 1201; 0.007354;
7000; 1201; 0.008569;
8000; 1201; 0.009372;
9000; 1201; 0.011188;
1000; 1301; 0.001277;
2000; 1301; 0.002548;
3000; 1301; 0.003627;
4000; 1301; 0.004956;
5000; 1301; 0.006276;
6000; 1301; 0.007525;
7000; 1301; 0.008197;
8000; 1301; 0.009977;
9000; 1301; 0.010926;
1000; 1401; 0.001339;
2000; 1401; 0.002680;
3000; 1401; 0.003754;
4000; 1401; 0.005168;
5000; 1401; 0.006083;
6000; 1401; 0.007820;
7000; 1401; 0.008607;
8000; 1401; 0.010258;
9000; 1401; 0.011237;
1000; 1501; 0.001303;
2000; 1501; 0.002714;
3000; 1501; 0.004083;
4000; 1501; 0.005445;
5000; 1501; 0.006605;
6000; 1501; 0.007674;
7000; 1501; 0.009437;
8000; 1501; 0.010739;
9000; 1501; 0.012026;
1000; 1601; 0.001406;
