a;a;a;a;a;a;a;a;
1;4000000;4000000;3140834;0.000000;0.153413;0.153455;3.140834;
2;4000000;2000000;1571907;0.000000;0.076981;0.077082;3.142169;
3;4000000;1333334;1046798;0.000000;0.051183;0.051226;3.141685;
4;4000000;1000000;785663;0.000000;0.038502;0.038716;3.141355;
5;4000000;800000;628346;0.000000;0.030760;0.031293;3.141516;
6;4000000;666670;523680;0.000000;0.025696;0.045520;3.140593;
7;4000000;571432;448454;0.000000;0.022048;0.023071;3.141437;
8;4000000;500000;392862;0.000000;0.019030;0.019634;3.141107;
9;4000000;444448;348778;0.000000;0.016934;0.017759;3.141830;
10;4000000;400000;314181;0.000000;0.015395;0.015457;3.142284;
11;4000000;363640;285241;0.000000;0.014049;0.014106;3.141124;
12;4000000;333337;261443;0.000000;0.012871;0.013165;3.140758;
1;300000000;300000000;235619436;0.000000;11.469882;11.469974;3.141592;
2;300000000;150000000;117811578;0.000000;5.776436;5.776667;3.141600;
3;300000000;100000000;78544150;0.000000;3.842923;3.843116;3.141647;
4;300000000;75000000;58909820;0.000000;2.886191;2.886455;3.141739;
5;300000000;60000000;47123431;0.000000;2.463569;2.463878;3.141639;
6;300000000;50000000;39269434;0.000000;1.923402;1.929445;3.141601;
7;300000000;42857148;33657569;0.000000;1.651353;1.653743;3.141693;
8;300000000;37500000;29448155;0.000000;1.440363;1.450548;3.141412;
9;300000000;33333336;26175830;0.000000;1.276309;1.277614;3.141508;
10;300000000;30000000;23563613;0.000000;1.154183;1.192720;3.141634;
11;300000000;27272730;21417666;0.000000;1.050157;1.058467;3.141627;
12;300000000;25000000;19635540;0.000000;0.954715;0.954898;3.141795;
1;5000000000;5000000000;3926983201;0.000000;190.518921;190.519037;3.141587;
2;5000000000;2500000000;1963501411;0.000000;95.440677;95.568530;3.141612;
3;5000000000;1666666668;1308983849;0.000000;63.850572;63.871224;3.141555;
4;5000000000;1250000000;981756447;0.000000;47.942882;47.951928;3.141596;
5;5000000000;1000000000;785388940;0.000000;38.460370;38.460818;3.141589;
6;5000000000;833333335;654499085;0.000000;31.740202;31.740566;3.141583;
11;5000000000;454545460;357008245;0.000000;17.013035;17.013420;3.141604;
