a;a;a;a;a;a;a;a;
1;4000000;4000000;3143096;0.000000;0.131410;0.131447;3.143096;
2;4000000;2000000;1571080;0.000000;0.068239;0.069459;3.141754;
3;4000000;1333334;1047097;0.000000;0.047345;0.050788;3.142108;
4;4000000;1000000;785702;0.000000;0.036675;0.042715;3.140489;
5;4000000;800000;628765;0.000000;0.029851;0.035405;3.140708;
6;4000000;666670;523197;0.000000;0.024866;0.033109;3.142118;
7;4000000;571432;449223;0.000000;0.021342;0.021599;3.141823;
8;4000000;500000;392523;0.000000;0.018664;0.022715;3.141629;
9;4000000;444448;349214;0.000000;0.016602;0.018491;3.141079;
10;4000000;400000;314113;0.000000;0.014956;0.016733;3.140590;
11;4000000;363640;286011;0.000000;0.013597;0.014366;3.142215;
12;4000000;333337;261846;0.000000;0.012452;0.013366;3.141304;
1;300000000;300000000;235626603;0.000000;9.861327;9.861411;3.141688;
2;300000000;150000000;117815058;0.000000;5.029029;5.030480;3.141680;
3;300000000;100000000;78539340;0.000000;3.547847;3.714112;3.141705;
4;300000000;75000000;58903473;0.000000;2.759327;2.760730;3.141472;
5;300000000;60000000;47118305;0.000000;2.245440;2.245848;3.141393;
6;300000000;50000000;39266730;0.000000;1.870220;1.875037;3.141427;
7;300000000;42857148;33658940;0.000000;1.602185;1.605363;3.141562;
8;300000000;37500000;29452027;0.000000;1.401122;1.402530;3.141614;
9;300000000;33333336;26177995;0.000000;1.245738;1.247864;3.141607;
10;300000000;30000000;23559227;0.000000;1.121921;1.124559;3.141705;
11;300000000;27272730;21419747;0.000000;1.019565;1.337428;3.141675;
12;300000000;25000000;19637032;0.000000;0.935761;0.936752;3.141523;
1;5000000000;5000000000;3926950435;0.000000;165.185116;165.185219;3.141560;
2;5000000000;2500000000;1963491303;0.000000;84.155145;84.155338;3.141599;
3;5000000000;1666666668;1308985431;0.000000;59.293377;59.331300;3.141583;
4;5000000000;1250000000;981780252;0.000000;45.796784;45.797016;3.141624;
5;5000000000;1000000000;785411439;0.000000;37.376689;37.378670;3.141587;
6;5000000000;833333335;654484404;0.000000;31.124465;31.169872;3.141567;
7;5000000000;714285716;560983610;0.000000;26.681313;26.722012;3.141582;
8;5000000000;625000000;490862853;0.000000;23.374013;23.374259;3.141586;
10;5000000000;500000000;392704573;0.000000;18.667698;18.678478;3.141569;
11;5000000000;454545460;357003742;0.000000;16.970821;16.998801;3.141587;
12;5000000000;416666674;327266489;0.000000;15.573721;15.626091;3.141630;
