a;a;a;a;a;a;a;a;
1;4000000;4000000;3141373;0.000000;0.140631;0.140670;3.141373;
2;4000000;2000000;1570776;0.000000;0.067164;0.067263;3.140144;
3;4000000;1333334;1045921;0.000000;0.049063;0.052912;3.139553;
4;4000000;1000000;785630;0.000000;0.036299;0.051508;3.142243;
5;4000000;800000;628105;0.000000;0.029870;0.033086;3.141286;
6;4000000;666670;523577;0.000000;0.024901;0.027129;3.141855;
7;4000000;571432;448771;0.000000;0.021333;0.026533;3.141989;
8;4000000;500000;392727;0.000000;0.018698;0.019931;3.142319;
9;4000000;444448;348983;0.000000;0.016642;0.016696;3.141921;
10;4000000;400000;314635;0.000000;0.014967;0.016061;3.142036;
11;4000000;363640;285588;0.000000;0.015505;0.016031;3.141300;
12;4000000;333337;262156;0.000000;0.012448;0.012656;3.141801;
1;300000000;300000000;235607512;0.000000;9.935694;9.935785;3.141433;
2;300000000;150000000;117806457;0.000000;5.045889;5.046085;3.141614;
3;300000000;100000000;78537875;0.000000;3.561503;3.561990;3.141490;
4;300000000;75000000;58901758;0.000000;2.751424;2.751646;3.141491;
5;300000000;60000000;47122836;0.000000;2.243980;2.244226;3.141617;
6;300000000;50000000;39270470;0.000000;1.869285;1.876785;3.141565;
7;300000000;42857148;33664071;0.000000;1.602068;1.602305;3.141586;
8;300000000;37500000;29448015;0.000000;1.402593;1.403594;3.141457;
9;300000000;33333336;26179859;0.000000;1.246296;1.248108;3.141563;
10;300000000;30000000;23560673;0.000000;1.121561;1.124891;3.141597;
11;300000000;27272730;21421203;0.000000;1.020342;1.020516;3.141674;
12;300000000;25000000;19636599;0.000000;0.935677;0.944037;3.141661;
1;5000000000;5000000000;3926988322;0.000000;165.129568;165.129665;3.141591;
2;5000000000;2500000000;1963532792;0.000000;84.055365;84.689790;3.141645;
3;5000000000;1666666668;1308989942;0.000000;59.274986;59.315615;3.141601;
4;5000000000;1250000000;981770158;0.000000;45.808633;45.838929;3.141622;
5;5000000000;1000000000;785410530;0.000000;37.365512;37.380406;3.141653;
7;5000000000;714285716;560987617;0.000000;26.683472;26.689595;3.141552;
8;5000000000;625000000;490872245;0.000000;23.372796;23.385635;3.141562;
9;5000000000;555555560;436331229;0.000000;20.758758;20.798538;3.141626;
10;5000000000;500000000;392714249;0.000000;18.678176;18.706634;3.141608;
11;5000000000;454545460;357005015;0.000000;16.988094;16.992496;3.141616;
12;5000000000;416666674;327244385;0.000000;15.575982;15.668892;3.141591;
