a;a;a;a;a;a;a;a;
1;4000000;4000000;3141798;0.000000;0.154181;0.154224;3.141798;
2;4000000;2000000;1570375;0.000000;0.076673;0.076781;3.141477;
3;4000000;1333334;1047391;0.000000;0.051108;0.051151;3.141132;
4;4000000;1000000;785317;0.000000;0.038475;0.038610;3.142228;
5;4000000;800000;629033;0.000000;0.030810;0.031210;3.141292;
6;4000000;666670;524085;0.000000;0.025609;0.026120;3.141876;
7;4000000;571432;448392;0.000000;0.022061;0.022253;3.141019;
8;4000000;500000;392332;0.000000;0.019259;0.020389;3.141238;
9;4000000;444448;349134;0.000000;0.017170;0.018279;3.142262;
10;4000000;400000;314212;0.000000;0.015438;0.015486;3.141107;
11;4000000;363640;285794;0.000000;0.014214;0.021753;3.141631;
12;4000000;333337;261687;0.000000;0.012688;0.012741;3.140988;
1;300000000;300000000;235621586;0.000000;11.526228;11.526322;3.141621;
2;300000000;150000000;117808598;0.000000;5.768425;5.768651;3.141578;
3;300000000;100000000;78547138;0.000000;3.845655;3.848112;3.141684;
4;300000000;75000000;58905397;0.000000;2.880208;2.880452;3.141545;
5;300000000;60000000;47123457;0.000000;2.306787;2.314032;3.141438;
6;300000000;50000000;39271532;0.000000;1.921557;1.934302;3.141647;
7;300000000;42857148;33658658;0.000000;1.647907;1.648370;3.141550;
8;300000000;37500000;29448236;0.000000;1.441828;1.442058;3.141530;
9;300000000;33333336;26179489;0.000000;1.281767;1.290912;3.141661;
10;300000000;30000000;23564146;0.000000;1.154832;1.155052;3.141771;
11;300000000;27272730;21419725;0.000000;1.049085;1.060806;3.141819;
12;300000000;25000000;19635916;0.000000;0.960985;0.961156;3.141826;
1;5000000000;5000000000;3927024106;0.000000;191.803396;191.803510;3.141619;
2;5000000000;2500000000;1963478205;0.000000;92.288813;92.289079;3.141608;
3;5000000000;1666666668;1309004593;0.000000;59.558051;59.562392;3.141587;
4;5000000000;1250000000;981735906;0.000000;45.819445;45.830594;3.141572;
5;5000000000;1000000000;785389730;0.000000;37.354366;37.356834;3.141580;
6;5000000000;833333335;654492120;0.000000;31.141709;31.141950;3.141585;
